Trip_ID,Start_Location,Destination,Country,Start_Date,End_Date,Duration_Days,Accommodation_Type,Accommodation_Cost,Transport_Type,Transport_Cost,Food_Cost,Activity_Cost,Base_Currency,User_Selected_Currency,Currency_Rate,Total_Expense,Distance_km,Train_Class
1487,Chennai,Singapore,Singapore,2024-03-24,2024-03-31,7,Hotel 4-star,175,Train,3.13,129.5,582.75,USD,INR,83.0,73901.54,2902,Ord_Passenger
1488,Ahmedabad,Dubai,UAE,2024-05-16,2024-05-20,4,Hostel,28,Train,49.54,34.0,153.0,USD,USD,1.0,264.54,1771,Raj_1A
1489,Bengaluru,Tokyo,Japan,2024-04-21,2024-04-27,6,Hotel 3-star,72,Flight,742.03,84.0,378.0,USD,AED,3.67,4683.03,6658,
1490,Bengaluru,Berlin,Germany,2024-07-13,2024-07-22,9,Hotel 4-star,225,Bike,356.55,157.5,708.75,USD,AED,3.67,5313.43,7131,
1491,Jaipur,London,UK,2024-08-13,2024-08-14,1,Airbnb,70,Bus,41.43,19.0,85.5,USD,EUR,0.92,198.66,6750,
1492,Mumbai,Tokyo,Japan,2024-05-04,2024-05-15,11,Hotel 4-star,275,Train,45.24,154.0,693.0,USD,INR,83.0,96880.92,6720,Exp_FC
1493,Mumbai,Dubai,UAE,2024-01-14,2024-01-18,4,Airbnb,280,Train,4.59,34.0,153.0,USD,AED,3.67,1730.74,1935,Ord_SL
1494,Jaipur,Singapore,Singapore,2024-07-22,2024-07-25,3,Hotel 4-star,75,Bike,218.09,55.5,249.75,USD,JPY,153.0,91546.02,4126,
1495,Ahmedabad,Bengaluru,India,2024-04-29,2024-05-09,10,Hotel 3-star,120,Car,98.96,120.0,540.0,USD,JPY,153.0,134480.88,1237,
1496,Bengaluru,Sydney,Australia,2024-08-26,2024-08-28,2,Hotel 3-star,24,Bus,10.5,30.0,135.0,USD,USD,1.0,199.5,9349,
1497,Mumbai,London,UK,2024-07-29,2024-07-30,1,Hotel 4-star,25,Bus,17.04,19.0,85.5,USD,GBP,0.79,115.77,7192,
1498,Pune,New York,USA,2024-09-05,2024-09-10,5,Hostel,35,Train,,52.5,236.25,USD,GBP,0.79,,12639,Sha_EC
1499,Surat,London,UK,2024-06-29,2024-06-30,1,Airbnb,70,Bike,380.76,19.0,85.5,USD,USD,1.0,555.26,7014,
1500,Hyderabad,Berlin,Germany,2024-05-23,2024-05-28,5,Hotel 3-star,60,Bus,34.07,87.5,393.75,USD,INR,83.0,47751.56,6805,
1501,Delhi,Berlin,Germany,2024-01-23,2024-01-24,1,Hostel,7,Bike,288.3,17.5,78.75,USD,JPY,153.0,59907.15,5766,
1502,Bengaluru,Dubai,UAE,2024-03-03,2024-03-11,8,Airbnb,560,Car,153.28,68.0,306.0,USD,JPY,153.0,166353.84,2705,
1503,Jaipur,New York,USA,2024-08-18,2024-08-22,4,Hotel 5-star,160,Car,831.25,42.0,189.0,USD,USD,1.0,1222.25,11875,
1504,Mumbai,London,UK,2024-09-07,2024-09-14,7,Hotel 4-star,175,Flight,180.98,133.0,598.5,USD,JPY,153.0,166384.44,7192,
1505,Bengaluru,London,UK,2024-05-03,2024-05-12,9,Hotel 3-star,108,Flight,728.96,171.0,769.5,USD,GBP,0.79,1404.19,8035,
1506,Chennai,Dubai,UAE,2024-06-16,2024-06-21,5,Hotel 3-star,60,Train,37.93,42.5,191.25,USD,INR,83.0,27529.44,2944,Raj_2A
1507,Chennai,Mumbai,India,2024-08-03,2024-08-07,4,Hotel 4-star,100,Car,82.64,48.0,216.0,USD,EUR,0.92,410.91,1033,
1508,Ahmedabad,Mumbai,India,2024-05-02,2024-05-14,12,Airbnb,840,Bus,55.36,144.0,648.0,USD,INR,83.0,140050.88,440,
1509,Mumbai,London,UK,2024-03-13,2024-03-20,7,Hostel,49,Flight,236.0,133.0,598.5,USD,EUR,0.92,935.18,7192,
1510,Chennai,London,UK,2024-02-11,2024-02-16,5,Hotel 3-star,60,Train,45.94,95.0,427.5,USD,USD,1.0,628.44,8211,AC_2A
1511,Chennai,London,UK,2024-07-11,2024-07-22,11,Airbnb,770,Car,1040.06,209.0,940.5,USD,INR,83.0,245643.48,8211,
1512,Pune,Paris,France,2024-04-28,2024-05-04,6,Hotel 5-star,240,Bus,43.44,102.0,459.0,USD,EUR,0.92,776.88,7125,
1513,Delhi,Sydney,Australia,2024-02-27,2024-03-09,11,Hotel 5-star,440,Flight,310.28,165.0,742.5,USD,INR,83.0,137595.74,10443,
1514,Chennai,London,UK,2024-02-04,2024-02-05,1,Hotel 3-star,12,Car,1040.06,19.0,85.5,USD,USD,1.0,1156.56,8211,
1515,Chennai,Berlin,Germany,2024-03-01,2024-03-13,12,Hotel 4-star,300,Flight,983.81,210.0,945.0,USD,EUR,0.92,2243.71,7299,
1516,Pune,Paris,France,2024-06-16,2024-06-27,11,Hotel 3-star,132,Train,,187.0,841.5,USD,INR,83.0,,7125,JS_2S
1517,Delhi,Paris,France,2024-08-03,2024-08-13,10,Hotel 3-star,120,Bus,28.46,170.0,765.0,USD,USD,1.0,1083.46,6572,
1518,Ahmedabad,Tokyo,Japan,2024-01-16,2024-01-27,11,Airbnb,770,Bike,261.16,154.0,693.0,USD,GBP,0.79,1483.75,6529,
1519,Pune,Tokyo,Japan,2024-01-19,2024-01-24,5,Hotel 5-star,200,Flight,302.78,70.0,315.0,USD,EUR,0.92,816.76,6664,
1520,Chennai,Dubai,UAE,2024-02-29,2024-03-10,10,Airbnb,700,Bike,71.5,85.0,382.5,USD,USD,1.0,1239.0,2944,
1521,Mumbai,Sydney,Australia,2024-06-11,2024-06-22,11,Hotel 3-star,132,Train,,165.0,742.5,USD,JPY,153.0,,10157,Yuva_Other
1522,Delhi,Mumbai,India,2024-04-09,2024-04-19,10,Hotel 3-star,120,Bus,41.87,120.0,540.0,USD,JPY,153.0,125746.11,1153,
1523,Kolkata,Mumbai,India,2024-02-06,2024-02-10,4,Hotel 5-star,160,Bus,26.02,48.0,216.0,USD,JPY,153.0,68853.06,1655,
1524,Surat,Berlin,Germany,2024-04-09,2024-04-18,9,Hotel 3-star,108,Bus,59.97,157.5,708.75,USD,GBP,0.79,817.03,6103,
1525,Delhi,Singapore,Singapore,2024-01-03,2024-01-09,6,Hotel 4-star,150,Flight,182.68,111.0,499.5,USD,GBP,0.79,745.11,4157,
1526,Kolkata,Bengaluru,India,2024-07-20,2024-08-01,12,Airbnb,840,Bike,53.52,144.0,648.0,USD,JPY,153.0,257884.56,1561,
1527,Delhi,Berlin,Germany,2024-06-20,2024-06-21,1,Airbnb,70,Bus,56.35,17.5,78.75,USD,USD,1.0,222.6,5766,
1528,Mumbai,Singapore,Singapore,2024-08-14,2024-08-17,3,Hotel 4-star,75,Bike,206.35,55.5,249.75,USD,INR,83.0,48687.8,3904,
1529,Surat,Mumbai,India,2024-07-05,2024-07-08,3,Hotel 5-star,120,Flight,566.48,36.0,162.0,USD,AED,3.67,3246.04,233,
1530,Chennai,Singapore,Singapore,2024-01-13,2024-01-15,2,Airbnb,140,Bike,153.39,37.0,166.5,USD,GBP,0.79,392.54,2902,
1531,Mumbai,London,UK,2024-07-17,2024-07-21,4,Hotel 5-star,160,Flight,1188.04,76.0,342.0,USD,INR,83.0,146581.32,7192,
1532,Ahmedabad,Singapore,Singapore,2024-05-06,2024-05-11,5,Hotel 5-star,200,Car,511.09,92.5,416.25,USD,INR,83.0,101246.72,4144,
1533,Pune,New York,USA,2024-01-04,2024-01-16,12,Hostel,84,Bike,379.17,126.0,567.0,USD,USD,1.0,1156.17,12639,
1534,Bengaluru,Paris,France,2024-05-11,2024-05-13,2,Hotel 3-star,24,Bike,381.24,34.0,153.0,USD,USD,1.0,592.24,7849,
1535,Chennai,Berlin,Germany,2024-06-30,2024-07-08,8,Airbnb,560,Flight,407.98,140.0,630.0,USD,JPY,153.0,265910.94,7299,
1536,Ahmedabad,Sydney,Australia,2024-01-29,2024-02-03,5,Hotel 5-star,200,Flight,226.25,75.0,337.5,USD,INR,83.0,69616.25,10437,
1537,Delhi,Berlin,Germany,2024-05-06,2024-05-10,4,Hotel 5-star,160,Bus,8.62,70.0,315.0,USD,USD,1.0,553.62,5766,
1538,Ahmedabad,Paris,France,2024-07-16,2024-07-19,3,Hotel 4-star,75,Car,756.61,51.0,229.5,USD,USD,1.0,1112.11,6676,
1539,Mumbai,Singapore,Singapore,2024-07-21,2024-07-27,6,Airbnb,420,Train,36.81,111.0,499.5,USD,EUR,0.92,981.93,3904,Exp_FC
1540,Kolkata,Tokyo,Japan,2024-04-11,2024-04-23,12,Hotel 4-star,300,Car,478.8,168.0,756.0,USD,GBP,0.79,1345.21,5130,
1541,Surat,Tokyo,Japan,2024-07-25,2024-08-03,9,Hostel,63,Train,41.51,126.0,567.0,USD,EUR,0.92,733.71,6607,Ord_FC
1542,Delhi,Paris,France,2024-07-08,2024-07-11,3,Airbnb,210,Car,744.83,51.0,229.5,USD,JPY,153.0,189005.49,6572,
1543,Mumbai,Singapore,Singapore,2024-03-09,2024-03-21,12,Hotel 4-star,300,Bus,57.01,222.0,999.0,USD,USD,1.0,1578.01,3904,
1544,Jaipur,London,UK,2024-05-30,2024-06-02,3,Hotel 5-star,120,Flight,855.05,57.0,256.5,USD,AED,3.67,4728.98,6750,
1545,Surat,Singapore,Singapore,2024-03-17,2024-03-29,12,Hotel 4-star,300,Train,,222.0,999.0,USD,EUR,0.92,,4017,JS_2S
1546,Delhi,New York,USA,2024-08-02,2024-08-09,7,Airbnb,490,Flight,298.28,73.5,330.75,USD,USD,1.0,1192.53,11742,
1547,Hyderabad,Dubai,UAE,2024-01-16,2024-01-19,3,Hotel 5-star,120,Train,20.75,25.5,114.75,USD,AED,3.67,1031.27,2553,AC_3A
1548,Ahmedabad,London,UK,2024-06-30,2024-07-06,6,Hostel,42,Flight,308.51,114.0,513.0,USD,INR,83.0,81133.33,6844,
1549,Pune,Mumbai,India,2024-05-07,2024-05-09,2,Hotel 3-star,24,Car,9.6,24.0,108.0,USD,INR,83.0,13744.8,120,
1550,Bengaluru,New York,USA,2024-07-30,2024-08-10,11,Hotel 5-star,440,Bike,401.04,115.5,519.75,USD,USD,1.0,1476.29,13368,
1551,Bengaluru,Paris,France,2024-07-21,2024-07-25,4,Hostel,28,Car,889.55,68.0,306.0,USD,INR,83.0,107198.65,7849,
1552,Kolkata,Singapore,Singapore,2024-04-08,2024-04-10,2,Hostel,14,Bus,52.74,37.0,166.5,USD,GBP,0.79,213.49,2891,
1553,Delhi,Singapore,Singapore,2024-01-12,2024-01-16,4,Hotel 4-star,100,Train,,74.0,333.0,USD,INR,83.0,,4157,GR_3A
1554,Delhi,London,UK,2024-06-12,2024-06-14,2,Hotel 5-star,80,Flight,297.7,38.0,171.0,USD,EUR,0.92,539.76,6697,
1555,Hyderabad,Mumbai,India,2024-05-01,2024-05-09,8,Hotel 4-star,200,Bus,26.96,96.0,432.0,USD,AED,3.67,2770.7,621,
1556,Hyderabad,Bengaluru,India,2024-03-12,2024-03-19,7,Hostel,49,Bike,17.14,84.0,378.0,USD,EUR,0.92,485.89,500,
1557,Kolkata,Bengaluru,India,2024-05-08,2024-05-10,2,Hotel 3-star,24,Car,124.88,24.0,108.0,USD,EUR,0.92,258.41,1561,
1558,Ahmedabad,New York,USA,2024-08-21,2024-09-02,12,Hostel,84,Bike,363.93,126.0,567.0,USD,EUR,0.92,1049.66,12131,
1559,Pune,Dubai,UAE,2024-04-18,2024-04-30,12,Hotel 4-star,300,Car,116.39,102.0,459.0,USD,USD,1.0,977.39,2054,
1560,Bengaluru,Sydney,Australia,2024-03-24,2024-04-03,10,Airbnb,700,Flight,946.11,150.0,675.0,USD,JPY,153.0,378079.83,9349,
1561,Chennai,Paris,France,2024-08-28,2024-08-31,3,Airbnb,210,Train,,51.0,229.5,USD,INR,83.0,,8036,Raj_3A
1562,Chennai,London,UK,2024-05-27,2024-06-03,7,Hotel 4-star,175,Train,,133.0,598.5,USD,JPY,153.0,,8211,Sha_CC
1563,Ahmedabad,Paris,France,2024-08-10,2024-08-12,2,Hotel 3-star,24,Car,756.61,34.0,153.0,USD,AED,3.67,3551.13,6676,
1564,Mumbai,Sydney,Australia,2024-05-25,2024-06-02,8,Hotel 4-star,200,Car,1015.7,120.0,540.0,USD,EUR,0.92,1725.64,10157,
1565,Pune,Bengaluru,India,2024-02-25,2024-03-07,11,Hotel 4-star,275,Train,9.8,132.0,594.0,USD,USD,1.0,1010.8,735,AC_3A
1566,Hyderabad,Paris,France,2024-05-30,2024-06-04,5,Hotel 3-star,60,Bike,366.96,85.0,382.5,USD,JPY,153.0,136852.38,7555,
1567,Kolkata,Sydney,Australia,2024-04-01,2024-04-06,5,Hotel 3-star,60,Bike,391.63,75.0,337.5,USD,EUR,0.92,795.0,9138,
1568,Chennai,Tokyo,Japan,2024-03-23,2024-03-29,6,Hotel 4-star,150,Bus,37.12,84.0,378.0,USD,USD,1.0,649.12,6411,
1569,Kolkata,Bengaluru,India,2024-07-29,2024-07-31,2,Hotel 4-star,50,Train,15.84,24.0,108.0,USD,AED,3.67,726.07,1561,Ord_FC
1570,Pune,Singapore,Singapore,2024-05-05,2024-05-17,12,Hotel 4-star,300,Bike,200.01,222.0,999.0,USD,INR,83.0,142843.83,3784,
1571,Bengaluru,Singapore,Singapore,2024-05-27,2024-06-08,12,Hotel 4-star,300,Bike,167.24,222.0,999.0,USD,JPY,153.0,258300.72,3164,
1572,Delhi,Singapore,Singapore,2024-05-21,2024-06-01,11,Hostel,77,Train,71.94,203.5,915.75,USD,AED,3.67,4654.26,4157,AC_1A
1573,Bengaluru,Dubai,UAE,2024-06-03,2024-06-11,8,Hotel 3-star,96,Flight,199.55,68.0,306.0,USD,INR,83.0,55572.65,2705,
1574,Jaipur,Bengaluru,India,2024-01-15,2024-01-17,2,Hostel,14,Bus,55.98,24.0,108.0,USD,JPY,153.0,30902.94,1562,
1575,Pune,Tokyo,Japan,2024-06-29,2024-07-04,5,Hotel 3-star,60,Bus,55.68,70.0,315.0,USD,USD,1.0,500.68,6664,
1576,Ahmedabad,Sydney,Australia,2024-04-07,2024-04-12,5,Airbnb,350,Car,1043.7,75.0,337.5,USD,AED,3.67,6628.75,10437,
1577,Chennai,Dubai,UAE,2024-08-19,2024-08-23,4,Hotel 5-star,160,Car,166.83,34.0,153.0,USD,JPY,153.0,78615.99,2944,
1578,Kolkata,Tokyo,Japan,2024-08-24,2024-08-28,4,Hostel,28,Car,478.8,56.0,252.0,USD,INR,83.0,67628.4,5130,
1579,Ahmedabad,Bengaluru,India,2024-07-10,2024-07-16,6,Hostel,42,Flight,447.59,72.0,324.0,USD,EUR,0.92,814.74,1237,
1580,Chennai,Paris,France,2024-02-02,2024-02-04,2,Hotel 4-star,50,Car,910.75,34.0,153.0,USD,JPY,153.0,175605.75,8036,
1581,Hyderabad,Sydney,Australia,2024-03-03,2024-03-12,9,Hotel 4-star,225,Car,956.9,135.0,607.5,USD,EUR,0.92,1770.45,9569,
1582,Ahmedabad,London,UK,2024-01-14,2024-01-17,3,Hostel,21,Car,866.91,57.0,256.5,USD,GBP,0.79,949.11,6844,
1583,Bengaluru,Dubai,UAE,2024-01-13,2024-01-16,3,Hotel 5-star,120,Car,153.28,25.5,114.75,USD,EUR,0.92,380.45,2705,
1584,Kolkata,Bengaluru,India,2024-01-27,2024-02-01,5,Hotel 3-star,60,Bike,53.52,60.0,270.0,USD,JPY,153.0,67858.56,1561,
1585,Kolkata,Dubai,UAE,2024-07-19,2024-07-26,7,Hotel 5-star,280,Car,190.91,59.5,267.75,USD,GBP,0.79,630.55,3369,
1586,Hyderabad,London,UK,2024-05-22,2024-05-28,6,Hotel 4-star,150,Car,978.12,114.0,513.0,USD,AED,3.67,6441.29,7722,
1587,Bengaluru,New York,USA,2024-08-15,2024-08-18,3,Airbnb,210,Flight,898.18,31.5,141.75,USD,GBP,0.79,1012.33,13368,
1588,Pune,Berlin,Germany,2024-06-04,2024-06-11,7,Airbnb,490,Flight,163.52,122.5,551.25,USD,GBP,0.79,1048.54,6399,
1589,Jaipur,Sydney,Australia,2024-06-24,2024-07-03,9,Airbnb,630,Train,,135.0,607.5,USD,JPY,153.0,,10428,Raj_1A
1590,Bengaluru,Tokyo,Japan,2024-07-31,2024-08-10,10,Hotel 4-star,250,Car,621.41,140.0,630.0,USD,USD,1.0,1641.41,6658,
1591,Pune,New York,USA,2024-04-14,2024-04-16,2,Hotel 3-star,24,Train,,21.0,94.5,USD,USD,1.0,,12639,Yuva_18_35
1592,Pune,London,UK,2024-06-29,2024-07-05,6,Hostel,42,Bus,31.68,114.0,513.0,USD,USD,1.0,700.68,7306,
1593,Chennai,Mumbai,India,2024-06-26,2024-06-27,1,Hotel 3-star,12,Bike,35.42,12.0,54.0,USD,GBP,0.79,89.6,1033,
1594,Jaipur,Mumbai,India,2024-06-01,2024-06-07,6,Hotel 4-star,150,Flight,1085.39,72.0,324.0,USD,GBP,0.79,1288.8,921,
1595,Delhi,Bengaluru,India,2024-07-28,2024-07-31,3,Hostel,21,Flight,380.0,36.0,162.0,USD,EUR,0.92,551.08,1750,
1596,Ahmedabad,Bengaluru,India,2024-02-14,2024-02-16,2,Hostel,14,Bike,42.41,24.0,108.0,USD,USD,1.0,188.41,1237,
1597,Chennai,London,UK,2024-08-08,2024-08-17,9,Hotel 5-star,360,Train,,171.0,769.5,USD,GBP,0.79,,8211,Sha_EC
1598,Pune,London,UK,2024-08-15,2024-08-26,11,Airbnb,770,Car,925.43,209.0,940.5,USD,AED,3.67,10440.89,7306,
1599,Mumbai,Sydney,Australia,2024-01-08,2024-01-14,6,Hostel,42,Car,1015.7,90.0,405.0,USD,JPY,153.0,237563.1,10157,
1600,Surat,Berlin,Germany,2024-08-18,2024-08-26,8,Hostel,56,Bike,305.15,140.0,630.0,USD,JPY,153.0,173065.95,6103,
1601,Ahmedabad,Sydney,Australia,2024-02-15,2024-02-27,12,Hotel 4-star,300,Bus,20.37,180.0,810.0,USD,GBP,0.79,1035.19,10437,
1602,Hyderabad,Tokyo,Japan,2024-03-17,2024-03-28,11,Hotel 4-star,275,Bus,51.77,154.0,693.0,USD,INR,83.0,97422.91,6311,
1603,Bengaluru,Dubai,UAE,2024-07-14,2024-07-19,5,Hotel 4-star,125,Bus,40.89,42.5,191.25,USD,EUR,0.92,367.67,2705,
1604,Surat,Sydney,Australia,2024-07-21,2024-08-01,11,Hostel,77,Flight,1071.29,165.0,742.5,USD,EUR,0.92,1891.33,10296,
1605,Hyderabad,Sydney,Australia,2024-03-10,2024-03-13,3,Airbnb,210,Bus,19.89,45.0,202.5,USD,INR,83.0,39623.37,9569,
1606,Chennai,London,UK,2024-04-30,2024-05-05,5,Hotel 5-star,200,Train,25.55,95.0,427.5,USD,INR,83.0,62088.15,8211,AC_CC
1607,Pune,New York,USA,2024-09-06,2024-09-12,6,Hostel,42,Bike,379.17,63.0,283.5,USD,INR,83.0,63716.61,12639,
1608,Surat,Singapore,Singapore,2024-03-23,2024-04-04,12,Airbnb,840,Car,495.43,222.0,999.0,USD,EUR,0.92,2351.92,4017,
1609,Chennai,Singapore,Singapore,2024-08-12,2024-08-19,7,Hotel 4-star,175,Bike,153.39,129.5,582.75,USD,USD,1.0,1040.64,2902,
1610,Kolkata,Berlin,Germany,2024-05-31,2024-06-01,1,Hotel 3-star,12,Flight,437.41,17.5,78.75,USD,JPY,153.0,83485.98,7031,
1611,Surat,Dubai,UAE,2024-08-01,2024-08-10,9,Hotel 3-star,108,Train,17.46,76.5,344.25,USD,EUR,0.92,502.51,1848,AC_3A
1612,Chennai,Singapore,Singapore,2024-09-03,2024-09-10,7,Hostel,49,Bike,153.39,129.5,582.75,USD,JPY,153.0,139939.92,2902,
1613,Hyderabad,London,UK,2024-03-16,2024-03-17,1,Hotel 3-star,12,Train,8.4,19.0,85.5,USD,EUR,0.92,114.91,7722,Ord_SL
1614,Ahmedabad,Singapore,Singapore,2024-06-14,2024-06-24,10,Hotel 5-star,400,Car,511.09,185.0,832.5,USD,AED,3.67,7077.93,4144,
1615,Surat,Mumbai,India,2024-08-21,2024-08-29,8,Hotel 5-star,320,Flight,579.1,96.0,432.0,USD,AED,3.67,5237.46,233,
1616,Kolkata,Mumbai,India,2024-03-11,2024-03-14,3,Hostel,21,Bus,58.57,36.0,162.0,USD,USD,1.0,277.57,1655,
1617,Pune,Dubai,UAE,2024-03-25,2024-04-04,10,Hotel 3-star,120,Bike,49.88,85.0,382.5,USD,GBP,0.79,503.53,2054,
1618,Chennai,Tokyo,Japan,2024-04-29,2024-04-30,1,Airbnb,70,Bike,256.44,14.0,63.0,USD,USD,1.0,403.44,6411,
1619,Pune,New York,USA,2024-09-05,2024-09-08,3,Hotel 3-star,36,Flight,1116.91,31.5,141.75,USD,JPY,153.0,202902.48,12639,
1620,Kolkata,Dubai,UAE,2024-04-13,2024-04-18,5,Hotel 3-star,60,Car,190.91,42.5,191.25,USD,AED,3.67,1778.7,3369,
1621,Jaipur,Berlin,Germany,2024-08-03,2024-08-11,8,Hotel 3-star,96,Car,679.23,140.0,630.0,USD,INR,83.0,128254.09,5822,
1622,Pune,Paris,France,2024-06-10,2024-06-21,11,Hotel 3-star,132,Bike,346.07,187.0,841.5,USD,USD,1.0,1506.57,7125,
1623,Hyderabad,Bengaluru,India,2024-09-06,2024-09-11,5,Airbnb,350,Train,17.65,60.0,270.0,USD,USD,1.0,697.65,500,AC_1A
1624,Jaipur,Paris,France,2024-06-29,2024-07-10,11,Airbnb,770,Train,45.24,187.0,841.5,USD,AED,3.67,6766.53,6612,Exp_FC
1625,Bengaluru,Sydney,Australia,2024-04-20,2024-05-01,11,Hotel 5-star,440,Bus,27.79,165.0,742.5,USD,GBP,0.79,1086.48,9349,
1626,Hyderabad,Bengaluru,India,2024-08-21,2024-09-01,11,Airbnb,770,Bus,43.96,132.0,594.0,USD,AED,3.67,5651.65,500,
1627,Mumbai,Tokyo,Japan,2024-07-29,2024-08-01,3,Airbnb,210,Bus,10.92,42.0,189.0,USD,INR,83.0,37509.36,6720,
1628,Mumbai,Paris,France,2024-06-06,2024-06-09,3,Hotel 5-star,120,Train,,51.0,229.5,USD,EUR,0.92,,7009,JS_CC
1629,Pune,Paris,France,2024-03-01,2024-03-04,3,Hotel 3-star,36,Bike,346.07,51.0,229.5,USD,USD,1.0,662.57,7125,
1630,Bengaluru,Paris,France,2024-02-24,2024-02-26,2,Hotel 4-star,50,Car,889.55,34.0,153.0,USD,JPY,153.0,172362.15,7849,
1631,Mumbai,Bengaluru,India,2024-03-04,2024-03-08,4,Hotel 5-star,160,Bus,51.24,48.0,216.0,USD,AED,3.67,1744.13,845,
1632,Delhi,Bengaluru,India,2024-05-18,2024-05-23,5,Hotel 3-star,60,Car,140.0,60.0,270.0,USD,JPY,153.0,81090.0,1750,
1633,Hyderabad,Tokyo,Japan,2024-06-06,2024-06-15,9,Hotel 3-star,108,Bike,252.44,126.0,567.0,USD,USD,1.0,1053.44,6311,
1634,Surat,Tokyo,Japan,2024-06-19,2024-06-24,5,Airbnb,350,Bus,29.55,70.0,315.0,USD,JPY,153.0,116976.15,6607,
1635,Bengaluru,Paris,France,2024-02-09,2024-02-15,6,Hostel,42,Bus,29.86,102.0,459.0,USD,EUR,0.92,582.23,7849,
1636,Mumbai,Dubai,UAE,2024-07-17,2024-07-27,10,Airbnb,700,Bus,37.5,85.0,382.5,USD,INR,83.0,100015.0,1935,
1637,Delhi,Tokyo,Japan,2024-01-14,2024-01-20,6,Hotel 5-star,240,Bike,233.56,84.0,378.0,USD,USD,1.0,935.56,5839,
1638,Chennai,Bengaluru,India,2024-01-07,2024-01-19,12,Hostel,84,Bike,9.94,144.0,648.0,USD,INR,83.0,73533.02,290,
1639,Pune,London,UK,2024-06-08,2024-06-19,11,Hostel,77,Car,925.43,209.0,940.5,USD,USD,1.0,2151.93,7306,
1640,Hyderabad,London,UK,2024-02-17,2024-02-24,7,Hostel,49,Bike,419.19,133.0,598.5,USD,EUR,0.92,1103.71,7722,
1641,Jaipur,Tokyo,Japan,2024-06-30,2024-07-04,4,Airbnb,280,Train,,56.0,252.0,USD,EUR,0.92,,6042,GR_3A
1642,Delhi,Paris,France,2024-01-25,2024-02-03,9,Hotel 4-star,225,Car,744.83,153.0,688.5,USD,JPY,153.0,277133.49,6572,
1643,Delhi,Mumbai,India,2024-01-27,2024-01-31,4,Hostel,28,Bike,39.53,48.0,216.0,USD,EUR,0.92,305.01,1153,
1644,Jaipur,New York,USA,2024-02-25,2024-02-28,3,Hotel 4-star,75,Bike,356.25,31.5,141.75,USD,JPY,153.0,92488.5,11875,
1645,Ahmedabad,Paris,France,2024-01-28,2024-02-01,4,Hotel 3-star,48,Flight,452.08,68.0,306.0,USD,INR,83.0,72548.64,6676,
1646,Ahmedabad,Berlin,Germany,2024-03-06,2024-03-12,6,Hostel,42,Bus,18.98,105.0,472.5,USD,GBP,0.79,504.4,5929,
1647,Mumbai,Sydney,Australia,2024-07-23,2024-07-28,5,Hotel 5-star,200,Train,,75.0,337.5,USD,AED,3.67,,10157,Yuva_18_35
1648,Kolkata,Singapore,Singapore,2024-05-27,2024-05-30,3,Hotel 5-star,120,Train,5.8,55.5,249.75,USD,INR,83.0,35777.15,2891,Ord_SL
1649,Kolkata,Paris,France,2024-03-25,2024-03-29,4,Hotel 5-star,160,Car,890.35,68.0,306.0,USD,EUR,0.92,1310.4,7856,
1650,Pune,Dubai,UAE,2024-08-25,2024-08-31,6,Hotel 4-star,150,Bike,49.88,51.0,229.5,USD,EUR,0.92,441.95,2054,
1651,Ahmedabad,Tokyo,Japan,2024-06-18,2024-06-21,3,Airbnb,210,Flight,1036.27,42.0,189.0,USD,INR,83.0,122613.41,6529,
1652,Kolkata,Bengaluru,India,2024-08-27,2024-09-08,12,Hotel 4-star,300,Car,124.88,144.0,648.0,USD,EUR,0.92,1119.53,1561,
1653,Bengaluru,Dubai,UAE,2024-07-27,2024-07-30,3,Hotel 3-star,36,Bike,65.69,25.5,114.75,USD,INR,83.0,20081.02,2705,
1654,Bengaluru,Tokyo,Japan,2024-01-22,2024-01-26,4,Hotel 3-star,48,Flight,640.66,56.0,252.0,USD,EUR,0.92,916.93,6658,
1655,Mumbai,Sydney,Australia,2024-04-18,2024-04-23,5,Hostel,35,Bus,45.73,75.0,337.5,USD,JPY,153.0,75464.19,10157,
1656,Pune,Mumbai,India,2024-06-28,2024-07-04,6,Hostel,42,Bike,4.11,72.0,324.0,USD,INR,83.0,36695.13,120,
1657,Mumbai,London,UK,2024-08-05,2024-08-16,11,Hostel,77,Car,910.99,209.0,940.5,USD,INR,83.0,177411.67,7192,
1658,Ahmedabad,Dubai,UAE,2024-04-18,2024-04-24,6,Hotel 4-star,150,Train,16.98,51.0,229.5,USD,JPY,153.0,68464.44,1771,AC_3A
1659,Delhi,Tokyo,Japan,2024-04-18,2024-04-22,4,Airbnb,280,Train,,56.0,252.0,USD,JPY,153.0,,5839,Raj_3A
1660,Bengaluru,Dubai,UAE,2024-01-31,2024-02-10,10,Hotel 3-star,120,Bus,16.23,85.0,382.5,USD,JPY,153.0,92370.69,2705,
1661,Mumbai,Sydney,Australia,2024-07-15,2024-07-19,4,Hotel 4-star,100,Bike,435.3,60.0,270.0,USD,AED,3.67,3175.65,10157,
1662,Hyderabad,Tokyo,Japan,2024-05-13,2024-05-18,5,Hotel 5-star,200,Bus,51.49,70.0,315.0,USD,EUR,0.92,585.57,6311,
1663,Pune,Sydney,Australia,2024-07-21,2024-07-24,3,Hostel,21,Flight,967.3,45.0,202.5,USD,JPY,153.0,189077.4,10037,
1664,Delhi,London,UK,2024-05-06,2024-05-10,4,Airbnb,280,Train,45.94,76.0,342.0,USD,GBP,0.79,587.71,6697,AC_2A
